Indicator ID,Indicator Name,Display Name,Dataset,Value Type Slug,Value Type Descriptor,Units,Rank 1,Category 1 - slug,Category 1.1,Category 1.2,Category 1.3,Category 1.4,Category 1.5,Rank 2,Category 2 - slug,Category 2.1,Category 2.2,Category 2.3,Category 2.4,Category 2.5,Rank 3,Category 3 - slug,Category 3.1,Category 3.2,Category 3.3,Category 3.4,Category 3.5,Rank 4,Category 4 - slug,Category 4.1,Category 4.2,Category 4.3,Category 4.4,Category 4.5
jul2017-innovation-039,2.3.,Research and development (R&D),Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Research and development (R&D),,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-040,2.3.,Research and development (R&D),Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Research and development (R&D),,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-041,2.3.1.,Researchers,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Researchers,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-042,2.3.2.,Gross expenditure on R&D (GERD),Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Gross expenditure on R&D (GERD),,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-043,2.3.3.,"Global R&D companies, average expenditure top 3",Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,"Global R&D companies, average expenditure top 3",,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-044,2.3.4.,QS university ranking average score top 3 universities,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,QS university ranking average score top 3 universities,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-045,3,Infrastructure,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-046,3,Infrastructure,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-047,3.1.,Information and communication technologies (ICTs),Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Information and communication technologies (ICTs),,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-048,3.1.,Information and communication technologies (ICTs),Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Information and communication technologies (ICTs),,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-049,3.1.1.,ICT access,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,ICT access,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-050,3.1.2.,ICT use,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,ICT use,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-051,3.1.3.,Government's online service,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Government's online service,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-052,3.1.4.,Online e-participation,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Online e-participation,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-053,3.2.,General infrastructure,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,General infrastructure,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-054,3.2.,General infrastructure,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,General infrastructure,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-055,3.2.1.,Electricity output,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Electricity output,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-056,3.2.2.,Logistics performance,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Logistics performance,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-057,3.2.3.,Gross capital formation,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Gross capital formation,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-058,3.3.,Ecological sustainability,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Ecological sustainability,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-059,3.3.,Ecological sustainability,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Ecological sustainability,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-060,3.3.1.,GDP per unit of energy use,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,GDP per unit of energy use,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-061,3.3.2.,Environmental performance,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,Environmental performance,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-062,3.3.3.,ISO 14001 environmental certificates,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Infrastructure,ISO 14001 environmental certificates,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-063,4,Market sophistication,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-064,4,Market sophistication,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-065,4.1.,Credit,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Credit,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-066,4.1.,Credit,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Credit,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-067,4.1.1.,Ease of getting credit,Global Innovation Index,Distance to Frontier,Distance to Frontier,Distance to Frontier,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Ease of getting credit,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-068,4.1.2.,Domestic credit to private sector,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Domestic credit to private sector,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-069,4.1.3.,Microfinance institutions' gross loan portfolio,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Microfinance institutions' gross loan portfolio,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-070,4.2.,Investment,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Investment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-071,4.2.,Investment,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Investment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-072,4.2.1.,Ease of protecting minority investors,Global Innovation Index,Distance to Frontier,Distance to Frontier,Distance to Frontier,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Ease of protecting minority investors,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-073,4.2.2.,Market capitalization,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Market capitalization,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-074,4.2.3.,Venture capital deals,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Venture capital deals,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-075,4.3.,"Trade, competition, & market scale",Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,"Trade, competition, & market scale",,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-076,4.3.,"Trade, competition, & market scale",Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,"Trade, competition, & market scale",,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-077,4.3.1.,"Applied tariff rate, weighted mean",Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,"Applied tariff rate, weighted mean",,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-078,4.3.2.,Intensity of local competition,Global Innovation Index,Index (1-7),Index (1-7),Index (1-7),,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Intensity of local competition,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-079,4.3.3.,Domestic market scale,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Market sophistication,Domestic market scale,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-080,5,Business sophistication,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-081,5,Business sophistication,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-082,5.1.,Knowledge workers,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Knowledge workers,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-083,5.1.,Knowledge workers,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Knowledge workers,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-084,5.1.1.,Employment in knowledge-intensive services,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Employment in knowledge-intensive services,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-085,5.1.2.,Firms offering formal training,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Firms offering formal training,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-086,5.1.3.,GERD performed by business enterprise,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,GERD performed by business enterprise,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-087,5.1.4.,GERD financed by business enterprise,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,GERD financed by business enterprise,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-088,5.1.5.,Females employed with advanced degrees,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Females employed with advanced degrees,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-089,5.2.,Innovation linkages,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Innovation linkages,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-090,5.2.,Innovation linkages,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Innovation linkages,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-091,5.2.1.,University/industry research collaboration,Global Innovation Index,Index (1-7),Index (1-7),Index (1-7),,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,University/industry research collaboration,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-092,5.2.2.,State of cluster development,Global Innovation Index,Index (1-7),Index (1-7),Index (1-7),,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,State of cluster development,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-093,5.2.3.,GERD financed by abroad,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,GERD financed by abroad,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-094,5.2.4.,Joint venture/strategic alliance deals,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Joint venture/strategic alliance deals,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-095,5.2.5.,Patent families filed in at least two offices,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Patent families filed in at least two offices,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-096,5.3.,Knowledge absorption,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Knowledge absorption,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-097,5.3.,Knowledge absorption,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Knowledge absorption,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-098,5.3.1.,Intellectual property payments,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Intellectual property payments,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-099,5.3.2.,High-tech imports,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,High-tech imports,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-100,5.3.3.,ICT services imports,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,ICT services imports,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-101,5.3.4.,"Foreign direct investment, net inflows",Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,"Foreign direct investment, net inflows",,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-102,5.3.5.,Research talent in business enterprise,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Business sophistication,Research talent in business enterprise,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-103,6,Knowledge and technology outputs,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-104,6,Knowledge and technology outputs,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-105,6.1.,Knowledge creation,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Knowledge creation,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-106,6.1.,Knowledge creation,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Knowledge creation,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-107,6.1.1.,Patent applications by origin,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Patent applications by origin,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-108,6.1.2.,PCT international applications by origin,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,PCT international applications by origin,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-109,6.1.3.,Utility model applications by origin,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Utility model applications by origin,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-110,6.1.4.,Scientific and technical publications,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Scientific and technical publications,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-111,6.1.5.,Citable documents H index,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Citable documents H index,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-112,6.2.,Knowledge impact,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Knowledge impact,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-113,6.2.,Knowledge impact,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Knowledge impact,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-114,6.2.1.,Growth rate of GDP per person engaged,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Growth rate of GDP per person engaged,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-115,6.2.2.,New business density,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,New business density,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-116,6.2.3.,Total computer software spending,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Total computer software spending,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-117,6.2.4.,ISO 9001 quality certificates,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,ISO 9001 quality certificates,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-118,6.2.5.,High-tech and medium high-tech output,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,High-tech and medium high-tech output,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-119,6.3.,Knowledge diffusion,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Knowledge diffusion,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-120,6.3.,Knowledge diffusion,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Knowledge diffusion,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-121,6.3.1.,Intellectual property receipts,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,Intellectual property receipts,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-122,6.3.2.,High-tech exports,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,High-tech exports,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-123,6.3.3.,ICT services exports,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,ICT services exports,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-124,6.3.4.,"Foreign direct investment, net outflows",Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Knowledge and technology outputs,"Foreign direct investment, net outflows",,,,,,,,,,,,,,,,,,,,,
